,2. Datum nesreče,3. Ura nesreče,4. Nadzornik prisoten,5. Zdravnik prisoten,6. Reševalec prisoten,7. Udeleženec A – LETNICA ROJSTVA,8. Udeleženec A – država,9. Udeleženec A – zvrst smučanja,10. Udeleženec A – ravnanje pred nesrečo,11. Udeleženec B – LETO rojstva,12. Udeleženec B – država,13. Udeleženec B – zvrst smučanja,14. Skica nesreče,15. Fotografija kraja nesreče,16. Posnetek kraja nesreče,17. Vreme,18. Vidljivost,19. Temperatura,20. Vrsta snega,21. Veter,22. Telesna poškodba
240,15.3.2016,09:00,TRUE,,TRUE,1984,Slovenija,Alpsko,1,,,,TRUE,,,2,2,-1,7,1,Lažja
241,17.3.2016,10:30,TRUE,,TRUE,1972,Slovenija,Alpsko,2,,,,TRUE,,,1,3,4,8,1,Lažja
242,17.3.2016,12:30,FALSE,,TRUE,2003,Slovenija,Alpsko,1,,,,,,,,,,,,Lažja
243,19.3.2016,10:30,TRUE,,TRUE,2006,Slovenija,Alpsko,1,,,,TRUE,,,1,2,3,7,1,Lažja
244,20.3.2016,12:00,TRUE,,TRUE,1998,Slovenija,Alpsko,,,,,TRUE,,,2,2,9,3,1,Lažja
245,29.2.2016,15:00,TRUE,,TRUE,2004,Slovenija,Alpsko,2,,,,TRUE,,,3,1,25,7,1,Lažja
246,26.2.2016,10:00,TRUE,,,2005,Slovenija,Deskanje,2,,,,,,,5,3,-1,7,1,Lažja
247,26.2.2016,09:30,TRUE,,TRUE,2002,Slovenija,Alpsko,1,,,,TRUE,TRUE,,5,3,-4,6,1,Lažja
248,25.2.2016,20:30,TRUE,,TRUE,2007,Slovenija,Alpsko,8,,,,TRUE,TRUE,,5,3,-1,7,1,Lažja
249,25.2.2016,13:30,TRUE,,TRUE,1978,Slovenija,Alpsko,1,,,,TRUE,,,5,1,-2,3,2,Lažja
250,24.2.2016,12:00,TRUE,,TRUE,1968,Slovenija,Alpsko,8,1968,Slovenija,Alpsko,TRUE,TRUE,,1,2,0,7,1,Lažja
251,24.2.2016,11:00,TRUE,,TRUE,2004,Slovenija,Alpsko,2,,,,TRUE,TRUE,,1,2,-1,7,1,Lažja
252,24.2.2016,11:00,TRUE,,TRUE,2001,Slovenija,Alpsko,2,,,,TRUE,TRUE,,1,2,0,7,1,Lažja
253,31.1.2016,11:00,TRUE,,TRUE,1992,Slovenija,Deskanje,1,,,,,,,5,3,3,7,1,Lažja
254,29.1.2016,19:30,TRUE,,TRUE,1979,Slovenija,Alpsko,10,1981,Slovenija,Alpsko,TRUE,TRUE,,1,2,5,7,1,Lažja
255,29.1.2016,00:00,TRUE,,TRUE,1978,Slovenija,Alpsko,1,,,,,,,1,1,6,7,1,Lažja
256,29.1.2016,11:30,TRUE,,TRUE,1976,Slovenija,Alpsko,1,,,,,,,1,1,6,7,1,Lažja
257,27.1.2016,15:30,TRUE,,TRUE,2003,Slovenija,Alpsko,2,,,,,,,2,1,10,7,1,Lažja
258,27.1.2016,12:00,TRUE,,TRUE,1973,Slovenija,Alpsko,,,,,,,,1,1,10,7,1,Lažja
259,26.1.2016,10:30,TRUE,,TRUE,1995,Bih,Alpsko,2,,,,TRUE,TRUE,,1,2,10,7,1,Lažja
260,25.1.2016,12:00,TRUE,,TRUE,1963,Slovenija,Alpsko,1,,,,TRUE,TRUE,,1,2,7,1,1,Lažja
261,25.1.2016,11:30,TRUE,,TRUE,1992,Slovenija,Deskanje,1,,,,TRUE,TRUE,,1,2,7,7,1,Lažja
262,24.1.2016,13:00,TRUE,,TRUE,2006,Slovenija,Alpsko,1,,,,TRUE,TRUE,,2,2,1,7,1,Lažja
263,21.1.2016,19:00,TRUE,,,1995,Madžarska,Deskanje,,,,,,,,1,1,-6,7,1,Lažja
264,21.1.2016,15:00,TRUE,,TRUE,2006,Slovenija,Alpsko,2,,,,,,,2,1,-5,7,1,Lažja
265,16.1.2016,15:00,TRUE,TRUE,TRUE,1993,Slovenija,Alpsko,2,,,,TRUE,TRUE,,5,1,-5,7,1,Lažja
266,15.1.2016,18:30,TRUE,,TRUE,1980,Slovenija,Alpsko,,,,,TRUE,TRUE,FALSE,2,1,-35,7,1,Lažja
